title,rating,Year
おまえうまそうだな,8.9,2010
Wreaths at the Foot of the Mountain,9.5,1984
Source Code,8.5,2011
Kekexili: Mountain Patrol,8.9,2004
Mad Max: Fury Road,8.7,2015
City Lights,9.3,1931
Manchester by the Sea,8.6,2016
Bohemian Rhapsody,8.6,2018
Black Swan,8.6,2010
Hibiscus Town,9.3,1987
La La Land,8.4,2016
Love Actually,8.5,2003
Green Snake,8.6,1993
Rain Man,8.7,1988
???????????????????????...???,8.5,2010
花束みたいな恋をした,8.6,2021
Terminator 2: Judgment Day,8.8,1991
A.I. Artificial Intelligence,8.7,2001
La grande vadrouille,8.9,1966
Inglourious Basterds,8.7,2009
The Notebook,8.5,2004
新龍門客棧,8.7,1992
Harry Potter and the Deathly Hallows: Part 1,8.6,2010
The Secret Life of Walter Mitty,8.6,2013
崖の上のポニョ,8.6,2008
羅生門,8.8,1950
Gattaca,8.8,1997
Coherence,8.6,2013
Raise The Red Lantern    épouses et concubines,8.8,1991
The Matrix Reloaded,8.7,2003
火垂るの墓,8.7,1988
Harry Potter and the Order of the Phoenix,8.5,2007
The Martian,8.5,2015
Wonder,8.6,2017
Robot Dreams,9,2023
Twenty Two    22,8.7,2015
Lord of War,8.7,2005
歩いても 歩いても,8.8,2008
Blood Diamond,8.7,2006
千年女優,8.8,2001
The Bourne Supremacy,8.7,2004
Room,8.8,2015
Waterloo Bridge,8.8,1940
Spider-Man: Into the Spider-Verse,8.6,2018
The Blind Side,8.7,2009
The Bourne Identity,8.6,2002
Hidden Figures,8.9,2016
The Reader,8.6,2008
阿飛正傳,8.5,1990
